"study1","barrel1","bullet1","land1","study2","barrel2","bullet2","land2","ccf","rough_cor","D","sd_D","matches","mismatches","cms","non_cms","sum_peaks","samesource"
"Hamby252","4","2",2,"Hamby252","Unk","J",2,0.218041435483007,-0.35614283757546,6.88847666253383,4.01845246246602,1.63682864450128,8.18414322250639,1.63682864450128,4.36487638533674,4.03399395414862,FALSE
"Hamby173","2","2",4,"Hamby252","2","1",6,0.453804717707439,0.182631471784899,2.50766804924951,2.94197741773056,6.37344398340249,4.78008298755187,4.24896265560166,1.59336099585062,8.95399755335584,FALSE
"Hamby252","5","2",3,"Hamby252","Unk","E",6,0.334031278314508,0.150801996254553,1.29369556468408,1.91553188677091,3.22689075630252,8.0672268907563,1.61344537815126,3.22689075630252,2.2221985325914,FALSE
"Hamby173","Unk","U",2,"Hamby173","Unk","V",5,0.411727038548099,0.0788714988430424,3.76706534472715,3.51005443258779,5.7799671592775,5.7799671592775,2.62725779967159,1.57635467980296,8.07630252675821,FALSE
"Hamby173","3","1",6,"Hamby173","Unk","G",4,0.22543725300017,-0.199063543232351,10.2246556933567,4.30925902816185,1.73285198555957,9.24187725631769,1.15523465703971,6.35379061371841,3.27680985756028,FALSE
"Hamby173","3","1",3,"Hamby173","Unk","W",6,0.105948969265547,-0.0609830398320853,6.12554714637087,3.64111449646884,3.3420365535248,8.91209747606614,1.6710182767624,5.01305483028721,6.00232419070357,FALSE
"Hamby173","2","1",1,"Hamby173","3","2",6,0.335119361008937,-0.0421943444173338,2.67577625549645,2.62839707147432,1.77449168207024,9.46395563770795,0.591497227356747,4.14048059149723,2.01137181812744,FALSE
"Hamby173","Unk","A",6,"Hamby173","Unk","R",6,0.237415940622687,-0.155336757411699,6.53158744881606,3.55586839166314,5.39831302717901,10.1968134957826,4.19868791002812,4.79850046860356,9.28306914685167,FALSE
"Hamby252","5","1",1,"Hamby252","7","2",3,0.342062365214831,0.0388651236398688,1.98640266431942,2.30228592821284,2.14046822742475,7.49163879598662,1.07023411371237,2.14046822742475,2.24076112921651,FALSE
"Hamby252","9","2",4,"Hamby252","Unk","F",6,0.472336889515106,-0.484957314958162,6.3492400975325,4.4475904337038,1.07925801011804,7.55480607082631,0.539629005059022,4.31703204047218,1.22508947287716,FALSE
"Hamby173","1","1",2,"Hamby173","Unk","I",5,0.186239704614859,-0.0863548467025626,3.15298847992593,2.74088143696783,2.15306980656013,6.4592094196804,2.15306980656013,6.4592094196804,2.92090448918693,FALSE
"Hamby252","3","1",1,"Hamby252","Unk","B",5,0.331892284106814,-0.0690285315644059,3.16821973825766,2.8647769589579,1.06577851790175,9.05911740216486,1.06577851790175,8.52622814321399,2.81554941317882,FALSE
"Hamby252","10","2",5,"Hamby252","1","1",3,0.117823429451804,-0.378160073710937,4.2998913000191,3.00542913046329,0,13.0855018587361,0,13.0855018587361,0,FALSE
"Hamby173","10","1",5,"Hamby173","Unk","R",5,0.329164984090301,-0.670029568283618,14.3278853304181,5.39698673207752,0.53156146179402,6.37873754152824,0.53156146179402,3.72093023255814,0.386259663098293,FALSE
"Hamby173","Unk","A",5,"Hamby173","Unk","X",3,0.249998345038953,0.138088037911679,0.507264302201976,1.14768677352525,2.24168126094571,10.0875656742557,1.68126094570928,5.60420315236427,1.42868010850039,FALSE
"Hamby173","Unk","H",1,"Hamby252","Unk","J",1,0.326032787065638,-0.0198672267662749,1.84830974719398,2.30413480407009,0.550300945829751,8.25451418744626,0.550300945829751,7.70421324161651,0.638966069070847,FALSE
"Hamby173","Unk","M",2,"Hamby173","Unk","V",1,0.290587128510942,-0.0323872685097378,2.75045476854686,2.79268793075672,1.62025316455696,8.64135021097046,0.540084388185654,3.78059071729958,1.54647513244782,FALSE
"Hamby173","10","2",6,"Hamby173","Unk","R",1,0.229708029367985,-0.14033072724327,2.28916933184281,3.04967638423288,0.557977332170881,12.2755013077594,0.557977332170881,11.1595466434176,1.44293080094115,FALSE
"Hamby252","7","2",4,"Hamby173","Unk","W",5,0.307518472015345,-0.187405609662053,5.53838705578527,3.59326380326812,3.63931762794476,9.87814784727864,1.03980503655565,4.67912266450041,5.63765058019695,FALSE
"Hamby173","2","1",3,"Hamby173","6","2",2,0.316184358997501,-0.267721760283755,3.34724277908043,2.95335519996268,2.88028802880288,10.9450945094509,1.72817281728173,5.18451845184518,3.9723012221317,FALSE
